Timestamp,Resource Name,Link to Resource,Short Description of resource,CATEGORY,Resource Due Date,Status,Column 1
2026-02-11,Student Center,https://studentcenter.uci.edu/learn-and-enjoy/study/,"Provides a quiet place for students to study. During finals week of fall, winter, or spring quarters, the building is open 24 hours a day.

Both open spaces and bookable study rooms are available.",ACADEMIC,,POSTED,2026-02-16
2026-02-11, ICS Tutoring Center,https://ics.uci.edu/2024/03/05/the-ics-tutoring-center-is-here-to-help/,"Located in ICS 2, Room 110. Fellow ICS students are available on Wed. and Th. from 12 to 5 PM and Fri. from 12 to 7 PM.

Tutoring available for various ICS courses. No appointment necessary!
",ACADEMIC,,POSTED,2026-02-11
2026-02-11,OAI Study Center,https://oai.ics.uci.edu/oai-tutoring/,"Located in ICS 2, Room 136. Tutoring available, by appointment, from 12 to 5 PM Monday to Friday, free of charge.
Tutoring available for various ICS courses by OAI’s learning mentors.
",ACADEMIC,,POSTED,2026-02-11
2026-02-11,UCI ANTrepreneur Center,https://antrepreneur.uci.edu/,"ANTrepreneur Center (Startup & Innovation Support) supports students interested in startups or tech innovation. It also provides pitch help, mentorship, workshops, prototyping resources, and community events for aspiring founders.
",ACADEMIC,,POSTED,2026-02-16
2026-02-11,CLAOC,https://claoc.org https://www.linkedin.com/company/claoc/,"CLAOC is an organization that partners with local OC companies to recruit local talent, here is their site ",PROFESSIONAL,,POSTED,2026-02-16
2026-02-11,Brighter Futures OC,https://www.linkedin.com/showcase/claoc-brighter-futures/ https://brighterfuturesoc.org/companies/,"Subset of CLAOC that advertises and announces internship opportunities. Most if not all opportunities are posted on the brighter futures linked in page.

Follow them on Instagram: @brighterfuturesoc
",PROFESSIONAL,2025-01-08,POSTED,2026-02-16
2026-02-11,Break Through Tech AI/ML Program,https://www.breakthroughtech.org/programs/the-ai-program/ ,"The AI Program is a virtual, one-year extracurricular experience that equips you with the skills needed to secure a job in the fastest-growing areas of tech: data science, artificial intelligence (AI), and machine learning (ML)

Applications open in December every year!
",PROFESSIONAL,2025-01-11,POSTED,2026-02-11
2026-02-16,NVIDIA Agentic AI Bootcamp (Virtual) ,https://www.openhackathons.org/s/siteevent/a0CUP00003eiaQw2AI/se000469,"The NVIDIA Agentic AI Bootcamp is a 5-day virtual, hands-on training program focused on building intelligent AI agents using modern development tools. Participants will learn how to design and deploy agentic AI workflows using technologies like Model Context Protocol (MCP), NVIDIA NIM microservices, and LangGraph for stateful AI systems.

Attendees will build MCP servers and clients, integrate them with NVIDIA NIM, and apply their skills in a final challenge by modifying an existing AI workflow. The bootcamp includes step-by-step guidance and live support from teaching assistants, making it beginner-friendly for students interested in AI development and applied machine learning.

This resource is ideal for students looking to gain practical experience in AI systems, workflows, and large language model integration.

DEADLINE IS NEXT WEEK! BE SURE TO APPLY.",PROFESSIONAL,2026-02-22,POSTED,2026-02-16
2026-02-16,OAI,https://oai.eng.uci.edu/,"Free tutoring is available in ICS 2, Room 136 from 12:00–5:00 PM, Monday through Friday (by appointment).

Tutoring is offered for a variety of ICS courses and is led by OAI’s trained learning mentors. This is a great resource for students who want help with coursework, exam prep, or programming assignments in a supportive environment.",ACADEMIC,,POSTED,2026-02-16
2026-02-16,Amazon Nova AI Hackathon,https://amazon-nova.devpost.com/?ref_feature=challenge&ref_medium=discover&_gl=1*phqx58*_gcl_au*MTAxODgxMDgwNy4xNzcxMjc0NjY1*_ga*MTc3MTc0Nzg1NC4xNzcxMjc0NjY1*_ga_0YHJK3Y10M*czE3NzEyNzQ2NjQkbzEkZzAkdDE3NzEyNzQ2NjQkajYwJGwwJGgw,"The Amazon Nova AI Hackathon challenges participants to build innovative generative AI applications using Amazon Nova foundation models on AWS. Developers can create agentic AI systems, multimodal applications (text, speech, images), voice AI tools, or UI automation agents powered by Nova Act.

Open to students and professionals (18+), this fully virtual competition provides technical documentation, workshops, office hours, and community support. Participants submit a working demo, short video, and code repository.

This is a strong opportunity for ICS students interested in AI, cloud computing, and large language model integration to build a portfolio-ready project and compete for major prizes. This is also beginner-friendly, so we encourage everyone to check it out!",COMPETITION,2026-03-16,POSTED,2026-02-16
